student_id,resMidterm_score,statConcepts,statInterpretation,statChoose_method,resCritical,resParticipation,resAssignment,resOutcome,resLearning_outcome
150327,47,57.1428571428571,56.25,60,5,4.090909091,3.928571429,มโนทัศน์พื้นฐานการวิจัย,27.272727272727273
150327,47,57.1428571428571,56.25,60,5,4.090909091,3.928571429,การออกแบบการวิจัย,54.54545454545455
150327,47,57.1428571428571,56.25,60,5,4.090909091,3.928571429,การเขียนและพัฒนาโครงการวิจัย,100
150327,47,57.1428571428571,56.25,60,5,4.090909091,3.928571429,เครื่องมือและการเก็บข้อมูล,61.53846153846154
150327,47,57.1428571428571,56.25,60,5,4.090909091,3.928571429,การวิเคราะห์และเขียนรายงาน,62.5
150327,47,57.1428571428571,56.25,60,5,4.090909091,3.928571429,การประยุกต์ใช้และพัฒนา,62.5
182427,47,57.1428571428571,31.25,40,5,5,5,มโนทัศน์พื้นฐานการวิจัย,63.63636363636363
182427,47,57.1428571428571,31.25,40,5,5,5,การออกแบบการวิจัย,72.72727272727273
182427,47,57.1428571428571,31.25,40,5,5,5,การเขียนและพัฒนาโครงการวิจัย,100
182427,47,57.1428571428571,31.25,40,5,5,5,เครื่องมือและการเก็บข้อมูล,53.84615384615385
182427,47,57.1428571428571,31.25,40,5,5,5,การวิเคราะห์และเขียนรายงาน,50
182427,47,57.1428571428571,31.25,40,5,5,5,การประยุกต์ใช้และพัฒนา,50
001427,59,75,55.5555555555556,30,3.75,4.545454545,4.642857143,มโนทัศน์พื้นฐานการวิจัย,72.72727272727273
001427,59,75,55.5555555555556,30,3.75,4.545454545,4.642857143,การออกแบบการวิจัย,54.54545454545455
001427,59,75,55.5555555555556,30,3.75,4.545454545,4.642857143,การเขียนและพัฒนาโครงการวิจัย,100
001427,59,75,55.5555555555556,30,3.75,4.545454545,4.642857143,เครื่องมือและการเก็บข้อมูล,69.23076923076923
001427,59,75,55.5555555555556,30,3.75,4.545454545,4.642857143,การวิเคราะห์และเขียนรายงาน,78.125
001427,59,75,55.5555555555556,30,3.75,4.545454545,4.642857143,การประยุกต์ใช้และพัฒนา,75
002027,35,58.3333333333333,55.5555555555556,40,5,4.545454545,3.928571429,มโนทัศน์พื้นฐานการวิจัย,81.81818181818181
002027,35,58.3333333333333,55.5555555555556,40,5,4.545454545,3.928571429,การออกแบบการวิจัย,36.36363636363637
002027,35,58.3333333333333,55.5555555555556,40,5,4.545454545,3.928571429,การเขียนและพัฒนาโครงการวิจัย,60
002027,35,58.3333333333333,55.5555555555556,40,5,4.545454545,3.928571429,เครื่องมือและการเก็บข้อมูล,46.15384615384615
002027,35,58.3333333333333,55.5555555555556,40,5,4.545454545,3.928571429,การวิเคราะห์และเขียนรายงาน,31.25
002027,35,58.3333333333333,55.5555555555556,40,5,4.545454545,3.928571429,การประยุกต์ใช้และพัฒนา,37.5
003727,54,58.3333333333333,38.8888888888889,60,5,4.545454545,5,มโนทัศน์พื้นฐานการวิจัย,45.45454545454545
003727,54,58.3333333333333,38.8888888888889,60,5,4.545454545,5,การออกแบบการวิจัย,45.45454545454545
003727,54,58.3333333333333,38.8888888888889,60,5,4.545454545,5,การเขียนและพัฒนาโครงการวิจัย,80
003727,54,58.3333333333333,38.8888888888889,60,5,4.545454545,5,เครื่องมือและการเก็บข้อมูล,76.92307692307692
003727,54,58.3333333333333,38.8888888888889,60,5,4.545454545,5,การวิเคราะห์และเขียนรายงาน,71.875
003727,54,58.3333333333333,38.8888888888889,60,5,4.545454545,5,การประยุกต์ใช้และพัฒนา,87.5
004327,40,25,33.3333333333333,30,2.5,3.636363636,3.214285714,มโนทัศน์พื้นฐานการวิจัย,54.54545454545455
004327,40,25,33.3333333333333,30,2.5,3.636363636,3.214285714,การออกแบบการวิจัย,18.181818181818183
004327,40,25,33.3333333333333,30,2.5,3.636363636,3.214285714,การเขียนและพัฒนาโครงการวิจัย,60
004327,40,25,33.3333333333333,30,2.5,3.636363636,3.214285714,เครื่องมือและการเก็บข้อมูล,61.53846153846154
004327,40,25,33.3333333333333,30,2.5,3.636363636,3.214285714,การวิเคราะห์และเขียนรายงาน,50
004327,40,25,33.3333333333333,30,2.5,3.636363636,3.214285714,การประยุกต์ใช้และพัฒนา,62.5
005027,43,25,66.6666666666667,20,5,4.545454545,0.714285714,มโนทัศน์พื้นฐานการวิจัย,54.54545454545455
005027,43,25,66.6666666666667,20,5,4.545454545,0.714285714,การออกแบบการวิจัย,72.72727272727273
005027,43,25,66.6666666666667,20,5,4.545454545,0.714285714,การเขียนและพัฒนาโครงการวิจัย,100
005027,43,25,66.6666666666667,20,5,4.545454545,0.714285714,เครื่องมือและการเก็บข้อมูล,46.15384615384615
005027,43,25,66.6666666666667,20,5,4.545454545,0.714285714,การวิเคราะห์และเขียนรายงาน,43.75
005027,43,25,66.6666666666667,20,5,4.545454545,0.714285714,การประยุกต์ใช้และพัฒนา,50
006627,44,41.6666666666667,33.3333333333333,30,5,4.545454545,3.571428571,มโนทัศน์พื้นฐานการวิจัย,36.36363636363637
006627,44,41.6666666666667,33.3333333333333,30,5,4.545454545,3.571428571,การออกแบบการวิจัย,54.54545454545455
006627,44,41.6666666666667,33.3333333333333,30,5,4.545454545,3.571428571,การเขียนและพัฒนาโครงการวิจัย,80
006627,44,41.6666666666667,33.3333333333333,30,5,4.545454545,3.571428571,เครื่องมือและการเก็บข้อมูล,61.53846153846154
006627,44,41.6666666666667,33.3333333333333,30,5,4.545454545,3.571428571,การวิเคราะห์และเขียนรายงาน,53.125
006627,44,41.6666666666667,33.3333333333333,30,5,4.545454545,3.571428571,การประยุกต์ใช้และพัฒนา,62.5
007227,45,58.3333333333333,50,70,5,4.545454545,4.285714286,มโนทัศน์พื้นฐานการวิจัย,81.81818181818181
007227,45,58.3333333333333,50,70,5,4.545454545,4.285714286,การออกแบบการวิจัย,45.45454545454545
007227,45,58.3333333333333,50,70,5,4.545454545,4.285714286,การเขียนและพัฒนาโครงการวิจัย,60
007227,45,58.3333333333333,50,70,5,4.545454545,4.285714286,เครื่องมือและการเก็บข้อมูล,38.46153846153846
007227,45,58.3333333333333,50,70,5,4.545454545,4.285714286,การวิเคราะห์และเขียนรายงาน,59.375
007227,45,58.3333333333333,50,70,5,4.545454545,4.285714286,การประยุกต์ใช้และพัฒนา,50
008927,52,50,38.8888888888889,50,5,5,5,มโนทัศน์พื้นฐานการวิจัย,63.63636363636363
008927,52,50,38.8888888888889,50,5,5,5,การออกแบบการวิจัย,54.54545454545455
008927,52,50,38.8888888888889,50,5,5,5,การเขียนและพัฒนาโครงการวิจัย,40
008927,52,50,38.8888888888889,50,5,5,5,เครื่องมือและการเก็บข้อมูล,69.23076923076923
008927,52,50,38.8888888888889,50,5,5,5,การวิเคราะห์และเขียนรายงาน,71.875
008927,52,50,38.8888888888889,50,5,5,5,การประยุกต์ใช้และพัฒนา,62.5
009527,39,41.6666666666667,44.4444444444444,30,0,4.090909091,1.428571429,มโนทัศน์พื้นฐานการวิจัย,36.36363636363637
009527,39,41.6666666666667,44.4444444444444,30,0,4.090909091,1.428571429,การออกแบบการวิจัย,45.45454545454545
009527,39,41.6666666666667,44.4444444444444,30,0,4.090909091,1.428571429,การเขียนและพัฒนาโครงการวิจัย,40
009527,39,41.6666666666667,44.4444444444444,30,0,4.090909091,1.428571429,เครื่องมือและการเก็บข้อมูล,69.23076923076923
009527,39,41.6666666666667,44.4444444444444,30,0,4.090909091,1.428571429,การวิเคราะห์และเขียนรายงาน,46.875
009527,39,41.6666666666667,44.4444444444444,30,0,4.090909091,1.428571429,การประยุกต์ใช้และพัฒนา,50
010027,52,66.6666666666667,27.7777777777778,20,5,5,5,มโนทัศน์พื้นฐานการวิจัย,54.54545454545455
010027,52,66.6666666666667,27.7777777777778,20,5,5,5,การออกแบบการวิจัย,63.63636363636363
